% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
M-NBFD130	3.17379400E+000	-1.49865800E-002	2.90674100E-002	1.20482900E-003	-5.35515800E-005	5.27135000E-006
MP-NBFD130	3.17379400E+000	-1.49865800E-002	2.90674100E-002	1.20482900E-003	-5.35515800E-005	5.27135000E-006
MC-NBFD135	3.18196980E+000	-1.49265220E-002	2.89876490E-002	1.22236540E-003	-5.29166880E-005	4.78072270E-006
M-TAF1	3.07080600E+000	-1.22769240E-002	2.45656600E-002	4.74366480E-004	5.43261600E-007	6.59766610E-007
MC-TAF1	3.07080600E+000	-1.22769240E-002	2.45656600E-002	4.74366480E-004	5.43261600E-007	6.59766610E-007
M-TAF31	3.16435800E+000	-1.40332100E-002	2.76703400E-002	6.40302500E-004	-6.34923400E-006	1.61574400E-006
MP-TAF31-15	3.16447500E+000	-1.38012950E-002	2.79262760E-002	5.74030000E-004	9.82237730E-007	1.32842440E-006
MC-TAF31-15	3.16447500E+000	-1.38012950E-002	2.79262760E-002	5.74030000E-004	9.82237730E-007	1.32842440E-006
M-TAF101	3.05615000E+000	-1.38471000E-002	2.43112600E-002	4.98002700E-004	-7.31867600E-006	1.24041000E-006
MP-TAF101-100	3.05915660E+000	-1.36047170E-002	2.46242720E-002	4.18342420E-004	2.53619080E-006	7.99808200E-007
MC-TAF101-100	3.05915660E+000	-1.36047170E-002	2.46242720E-002	4.18342420E-004	2.53619080E-006	7.99808200E-007
M-TAF105	3.07056380E+000	-1.33102340E-002	2.52803550E-002	2.18292340E-004	3.25552930E-005	-8.13004210E-007
MP-TAF105	3.07056380E+000	-1.33102340E-002	2.52803550E-002	2.18292340E-004	3.25552930E-005	-8.13004210E-007
MC-TAF105	3.07056380E+000	-1.33102340E-002	2.52803550E-002	2.18292340E-004	3.25552930E-005	-8.13004210E-007
M-TAF401	3.07279000E+000	-1.36638500E-002	2.52734600E-002	6.12182000E-004	-1.14704500E-005	1.54300000E-006
MP-TAF401	3.07279000E+000	-1.36638500E-002	2.52734600E-002	6.12182000E-004	-1.14704500E-005	1.54300000E-006
MC-TAF401	3.07279000E+000	-1.36638500E-002	2.52734600E-002	6.12182000E-004	-1.14704500E-005	1.54300000E-006
M-TAFD51	3.22768200E+000	-1.45381600E-002	2.92121000E-002	1.05706200E-003	-4.78716200E-005	4.55723900E-006
MP-TAFD51-50	3.22880520E+000	-1.44330460E-002	2.98634880E-002	8.21192820E-004	-1.09434920E-005	2.58049390E-006
MC-TAFD51-50	3.22880520E+000	-1.44330460E-002	2.98634880E-002	8.21192820E-004	-1.09434920E-005	2.58049390E-006
M-TAFD305	3.32718400E+000	-1.34324200E-002	3.33980000E-002	1.00604700E-003	-2.13690800E-005	3.97256100E-006
MP-TAFD305	3.32718400E+000	-1.34324200E-002	3.33980000E-002	1.00604700E-003	-2.13690800E-005	3.97256100E-006
MC-TAFD305	3.32718400E+000	-1.34324200E-002	3.33980000E-002	1.00604700E-003	-2.13690800E-005	3.97256100E-006
M-TAFD307	3.42860620E+000	-1.38453330E-002	3.73630090E-002	1.18945540E-003	-1.59799790E-005	5.18273980E-006
MP-TAFD307	3.42860620E+000	-1.38453330E-002	3.73630090E-002	1.18945540E-003	-1.59799790E-005	5.18273980E-006
MC-TAFD307	3.42860620E+000	-1.38453330E-002	3.73630090E-002	1.18945540E-003	-1.59799790E-005	5.18273980E-006
